wall_clock,x,y,z
14:48:12,4.300,1.070,0.640
14:48:12,4.296,1.075,0.638
14:48:13,4.291,1.077,0.642
14:48:13,4.286,1.078,0.646
14:48:14,4.281,1.082,0.652
14:48:14,4.277,1.088,0.655
14:48:15,4.273,1.094,0.660
14:48:16,4.269,1.099,0.665
14:48:16,4.267,1.100,0.667
14:48:17,4.264,1.098,0.668
14:48:17,4.260,1.097,0.668
14:48:18,4.258,1.095,0.667
14:48:18,4.257,1.095,0.669
14:48:19,4.257,1.099,0.674
14:48:19,4.258,1.106,0.681
14:48:20,4.263,1.113,0.688
14:48:20,4.268,1.116,0.695
14:48:21,4.272,1.121,0.698
14:48:21,4.277,1.125,0.700
14:48:22,4.282,1.128,0.701
14:48:22,4.285,1.128,0.696
14:48:23,4.288,1.127,0.689
14:48:23,4.287,1.126,0.685
14:48:24,4.284,1.127,0.685
14:48:24,4.280,1.129,0.686
14:48:25,4.278,1.131,0.687
14:48:25,4.278,1.133,0.687
14:48:26,4.277,1.132,0.689
14:48:26,4.274,1.130,0.693
14:48:27,4.269,1.129,0.696
14:48:27,4.265,1.128,0.700
14:48:28,4.262,1.124,0.704
14:48:28,4.262,1.118,0.711
14:48:29,4.264,1.110,0.721
14:48:29,4.267,1.106,0.730
14:48:30,4.269,1.102,0.738
14:48:30,4.272,1.098,0.742
14:48:31,4.274,1.094,0.740
14:48:31,4.274,1.090,0.735
14:48:32,4.269,1.087,0.730
14:48:32,4.262,1.085,0.726
14:48:33,4.256,1.083,0.721
14:48:33,4.250,1.086,0.716
14:48:34,4.243,1.090,0.713
14:48:34,4.237,1.095,0.713
14:48:35,4.231,1.099,0.711
14:48:35,4.227,1.104,0.708
14:48:36,4.225,1.109,0.705
14:48:36,4.225,1.114,0.705
14:48:37,4.226,1.116,0.707
14:48:37,4.229,1.113,0.709
14:48:38,4.231,1.105,0.713
14:48:38,4.232,1.096,0.718
14:48:39,4.233,1.088,0.716
14:48:39,4.233,1.084,0.709
14:48:40,4.236,1.080,0.705
14:48:40,4.238,1.078,0.705
14:48:41,4.240,1.079,0.707
14:48:41,4.238,1.081,0.709
14:48:42,4.238,1.082,0.706
14:48:43,4.240,1.082,0.702
14:48:43,4.239,1.080,0.697
14:48:44,4.238,1.079,0.690
14:48:44,4.239,1.080,0.682
14:48:45,4.242,1.080,0.673
14:48:45,4.243,1.075,0.665
14:48:46,4.244,1.068,0.660
14:48:46,4.245,1.061,0.660
14:48:47,4.244,1.053,0.665
14:48:47,4.244,1.042,0.670
14:48:48,4.242,1.030,0.671
14:48:48,4.238,1.019,0.673
14:48:49,4.235,1.005,0.676
14:48:49,4.230,0.988,0.681
14:48:50,4.212,0.992,0.682
14:48:50,4.183,1.016,0.682
14:48:51,4.168,1.024,0.683
14:48:51,4.164,1.029,0.683
14:48:52,4.165,1.038,0.686
14:48:52,4.169,1.050,0.689
14:48:53,4.172,1.065,0.690
14:48:53,4.172,1.081,0.688
14:48:54,4.171,1.095,0.684
14:48:54,4.170,1.107,0.681
14:48:55,4.170,1.114,0.682
14:48:55,4.173,1.115,0.686
14:48:56,4.179,1.112,0.690
14:48:56,4.185,1.110,0.691
14:48:57,4.190,1.107,0.690
14:48:57,4.195,1.104,0.685
14:48:58,4.201,1.098,0.680
14:48:58,4.206,1.092,0.677
14:48:59,4.208,1.087,0.676
14:48:59,4.210,1.087,0.677
14:49:00,4.211,1.090,0.675
14:49:00,4.214,1.092,0.672
14:49:01,4.216,1.094,0.673
14:49:01,4.219,1.097,0.679
14:49:02,4.223,1.106,0.689
14:49:02,4.225,1.119,0.700
14:49:03,4.224,1.133,0.707
14:49:03,4.223,1.146,0.711
14:49:04,4.223,1.158,0.711
14:49:04,4.224,1.169,0.709
14:49:05,4.225,1.176,0.708
14:49:05,4.226,1.181,0.707
14:49:06,4.228,1.183,0.706
14:49:06,4.231,1.181,0.702
14:49:07,4.233,1.179,0.698
14:49:07,4.236,1.177,0.697
14:49:08,4.237,1.174,0.695
14:49:08,4.236,1.168,0.693
14:49:09,4.230,1.160,0.689
14:49:09,4.220,1.155,0.685
14:49:10,4.213,1.153,0.681
14:49:10,4.208,1.153,0.675
14:49:11,4.204,1.152,0.675
14:49:11,4.200,1.155,0.680
14:49:12,4.199,1.160,0.684
14:49:12,4.201,1.164,0.681
14:49:13,4.204,1.166,0.677
14:49:14,4.204,1.166,0.674
14:49:14,4.203,1.161,0.674
14:49:15,4.198,1.154,0.672
14:49:15,4.191,1.149,0.666
14:49:16,4.187,1.147,0.658
14:49:16,4.185,1.146,0.653
14:49:17,4.182,1.146,0.649
14:49:17,4.181,1.147,0.646
14:49:18,4.181,1.147,0.649
14:49:18,4.183,1.144,0.656
14:49:19,4.188,1.140,0.664
14:49:19,4.193,1.135,0.670
14:49:20,4.195,1.131,0.672
14:49:20,4.191,1.126,0.676
14:49:21,4.184,1.123,0.681
14:49:21,4.180,1.119,0.688
14:49:22,4.178,1.119,0.696
14:49:22,4.177,1.122,0.704
14:49:23,4.176,1.127,0.710
14:49:23,4.178,1.134,0.714
14:49:24,4.178,1.140,0.714
14:49:24,4.179,1.147,0.710
14:49:25,4.180,1.154,0.708
14:49:25,4.183,1.160,0.711
14:49:26,4.186,1.164,0.713
14:49:26,4.189,1.165,0.715
14:49:27,4.189,1.166,0.717
14:49:27,4.187,1.166,0.716
14:49:28,4.187,1.166,0.715
14:49:28,4.187,1.168,0.714
14:49:29,4.188,1.172,0.711
14:49:29,4.188,1.176,0.706
14:49:30,4.187,1.180,0.703
14:49:30,4.184,1.180,0.706
14:49:31,4.179,1.177,0.710
14:49:31,4.172,1.174,0.713
14:49:32,4.167,1.173,0.716
14:49:32,4.167,1.171,0.720
14:49:33,4.171,1.167,0.724
14:49:33,4.176,1.161,0.728
14:49:34,4.181,1.155,0.728
14:49:34,4.184,1.148,0.724
14:49:35,4.187,1.144,0.719
14:49:35,4.188,1.140,0.716
14:49:36,4.186,1.138,0.718
14:49:36,4.185,1.136,0.725
14:49:37,4.181,1.134,0.728
14:49:37,4.176,1.134,0.729
14:49:38,4.170,1.135,0.730
14:49:39,4.164,1.137,0.726
14:49:39,4.156,1.140,0.716
14:49:40,4.150,1.141,0.704
14:49:40,4.151,1.139,0.694
14:49:41,4.155,1.138,0.683
14:49:41,4.160,1.141,0.673
